Script,Derivation Type,Certainty Type,Source
Arab,1,2,Wikipedia: Semitic Letter pages
Bopo,,1,Wikipedia: Bopomofo - 2026-02-17
Brah,,2,Indian Epigraphy pg. 25 (Salomon 1998) and Wikipedia: Indic letters pages
Cans,,,Wikipedia: Canadian Aboriginal Syllabics
Copt,,1,Wikipedia: Coptic script - 2026-02-20
Cyrl,,,Wikipedia: Early Cyrillic alphabet - 2026-02-20
Egyd,1,2,Wikipedia: Egyptian Demotic Script
Ethi,1,1,"Wikipedia: Ge'ez script 2026-03-07" 
Glag,1,3,Wikipedia: Glagolitic script - 2026-03-07
Grek,,1,Wikipedia: Greek / Old Italic and Phoenician - 2026-02-19
Hira,4,1,Wikipedia and Wiktionary kana pages - 2026-02-17 / https://www.sakuramani.com/how-did-hiragana-and-katakana-originate/
Ital,,,Wikipedia: Old Italic and Etruscan - 2026-02-19
Kana,,1,Wikipedia and Wiktionary kana pages - 2026-02-17 / https://www.sakuramani.com/how-did-hiragana-and-katakana-originate/
Latn,,1,Wikipedia Latin letter pages / Etruscan - 2026-02-19
Merc,1,3,Matching sound/glyph with transliteration in Wikipedia Demotic article as stated possible in (Claude Rilly 2022)
Mero,1,1,Unicode encoding proposal
Phnx,,1,Wikipedia: Phoenician - 2026-02-19 and Proto-Sinaitic - 2026-02-26
Psin,3,2,Wikipedia: Proto-Sinaitic - 2026-02-26








