Child,Parent,Certainty Type,Source,Notes
ت,ٮ
ٮ,𐢞/𐢂/𐢃,3
ش,س,3
س,𐡔/𐢝/𐢜,3
ر,𐢛
ق,ٯ
ٯ,𐢚
ص,𐢙
ف,ڡ
ڡ,𐢘
ع,𐢗
ن,ں
م,𐢒/𐢓,3
ل,𐢑/𐢐,3
ك,𐢎/𐢏,3
ي,ى
ى,𐢍
ح,𐢊/𐢄,3
ز,ر
ر,𐢉
و,𐢈
ه,𐢇/𐢆,3
د,𐢅
ذ,د
خ,ح
ث,ٮ
ج,ح
ب,ٮ
ا,𐢀/𐢁,3
غ,ع
ط,𐢋
ظ,ط,5
ض,ص
؋,ا/ف

ك,ک
گ,ک


٠,𑁦,1,3,https://en.wikipedia.org/wiki/Arabic_numerals and https://en.wikipedia.org/wiki/Eastern_Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit
١,𑁧,1,3,https://en.wikipedia.org/wiki/Arabic_numerals and https://en.wikipedia.org/wiki/Eastern_Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit
٢,𑁨,1,3,https://en.wikipedia.org/wiki/Arabic_numerals and https://en.wikipedia.org/wiki/Eastern_Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit
٣,𑁩,1,3,https://en.wikipedia.org/wiki/Arabic_numerals and https://en.wikipedia.org/wiki/Eastern_Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit
٤,𑁪,1,3,https://en.wikipedia.org/wiki/Arabic_numerals and https://en.wikipedia.org/wiki/Eastern_Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit
٥,𑁫,1,3,https://en.wikipedia.org/wiki/Arabic_numerals and https://en.wikipedia.org/wiki/Eastern_Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit
٩,𑁯,1,3,https://en.wikipedia.org/wiki/Arabic_numerals and https://en.wikipedia.org/wiki/Eastern_Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit
