Child,Parent,Source
𑀅,𐡀,
𑀩,𐡁,
𑀕,𐡂,
𑀥,𐡃,
𑀳,𐡄,
𑀯,𐡅,
𑀚,𐡆,
𑀖,𐡇,
𑀣,𐡈,
𑀬,𐡉,
𑀓,𐡊,
𑀮,𐡋,
𑀫,𐡌,
𑀦,𐡍,
𑀱,𐡎,
𑀏,𐡏,
𑀧,𐡐,
𑀘,𐡑,
𑀔,𐡒,
𑀭,𐡓,
𑀰,𐡔,
𑀢,𐡕,
𑀗,𐡍,Wikipedia: Indic Letter page
𑀙,𐡑,Wikipedia: Indic Letter page
𑀛,𐡆,Wikipedia: Indic Letter page
𑀜,𐡍,Wikipedia: Indic Letter page
𑀝,𐡈,Wikipedia: Indic Letter page
𑀞,𐡈,Wikipedia: Indic Letter page
𑀟,𐡃,Wikipedia: Indic Letter page

𑁧,𑁒,1,3,https://en.wikipedia.org/wiki/Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi to early Brahmi
𑁨,𑁓,1,3,https://en.wikipedia.org/wiki/Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi to early Brahmi
𑁩,𑁔,1,3,https://en.wikipedia.org/wiki/Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi to early Brahmi
𑁪,𑁕,1,3,https://en.wikipedia.org/wiki/Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi to early Brahmi
𑁫,𑁖,1,3,https://en.wikipedia.org/wiki/Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi to early Brahmi
𑁬,𑁗,1,3,https://en.wikipedia.org/wiki/Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi to early Brahmi
𑁭,𑁘,1,3,https://en.wikipedia.org/wiki/Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi to early Brahmi
𑁮,𑁙,1,3,https://en.wikipedia.org/wiki/Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi to early Brahmi
𑁯,𑁚,1,3,https://en.wikipedia.org/wiki/Arabic_numerals,Comparing timelines and Wikipedia article, this is late-Brahmi to early Brahmi
