Child,Parent,Derivation Type,Certainty Type
ᐁ,ए,1,
ᐸ,प,1,
ᑕ,ट,1,
ᒐ,ज,1,
ᑯ,ग,1,
ᒪ,म,1,
ᓂ,न,1,
ᓯ,स,1,
ᔪ,य,1,
ᓫ,ल,1,
ᐤ,व,1,
ᐦ,ः,1,

ᖍ,ᒐ,1
ᕙ,ᐸ,1
ᕦ,ᑕ,1
ᖪ,ᔪ,1
ᗴ,ᑕ,1
ᕮ,ᑕ,1
ᕳ,ᑕ,1

ᐅ,ᐁ,8,4
ᐊ,ᐁ,8,4
ᐃ,ᐁ,9,4
ᐯ,ᐸ,8,4
ᐱ,ᐸ,8,4
ᐳ,ᐸ,9,4
ᑌ,ᑕ,8,4
ᑎ,ᑕ,8,4
ᑐ,ᑕ,9,4
ᑫ,ᑯ,9,4
ᑭ,ᑯ,8,4
ᑲ,ᑯ,9,4
ᒉ,ᒐ,8,4
ᒋ,ᒐ,9,4
ᒍ,ᒐ,9,4
ᒣ,ᒪ,8,4
ᒥ,ᒪ,9,4
ᒧ,ᒪ,9,4
ᓀ,ᓂ,9,4
ᓄ,ᓂ,8,4
ᓇ,ᓂ,9,4
ᓭ,ᓯ,9,4
ᓱ,ᓯ,8,4
ᓴ,ᓯ,9,4
ᔦ,ᔪ,9,4
ᔨ,ᔪ,8,4
ᔭ,ᔪ,9,4
ᕫ,ᕮ,8,4
ᕬ,ᕮ,8,4
ᕭ,ᕮ,9,4

ᖊ,ᖍ,8,4
ᖋ,ᖍ,9,4
ᖌ,ᖍ,9,4
ᕓ,ᕙ,8,4
ᕗ,ᕙ,9,4
ᕕ,ᕗ,8,4
ᕞ,ᕦ,8,4
ᕤ,ᕦ,9,4
ᕠ,ᕤ,8,4
ᖬ,ᖪ,9,4
ᖨ,ᖪ,8,4
ᖧ,ᖪ,9,4
ᗰ,ᗴ,8,4
ᗱ,ᗴ,9,4
ᗯ,ᗴ,8,4

ᐂ,ᐃ,,4
ᐄ,ᐃ,,4
ᐎ,ᐃ,,4
ᐏ,ᐃ,,4
ᐐ,ᐃ,,4
ᐑ,ᐃ,,4
ᐬ,ᐃ,,4
ᐈ,ᐅ,1
ᐉ,ᐅ,1
ᐆ,ᐅ,,4
ᐇ,ᐅ,,4
ᐒ,ᐅ,,4
ᐓ,ᐅ,,4
ᐔ,ᐅ,,4
ᐕ,ᐅ,,4
ᐖ,ᐅ,,4
ᐭ,ᐅ,,4
ᐋ,ᐊ,,4
ᐗ,ᐊ,,4
ᐚ,ᐊ,,4
ᐛ,ᐊ,,4
ᐘ,ᐊ,,4
ᐙ,ᐊ,,4
ᐮ,ᐊ,,4
ᐌ,ᐁ,,4
ᐍ,ᐁ,,4
ᐫ,ᐁ,,4

ᐰ,ᐱ,,4
ᐲ,ᐱ,,4
ᐼ,ᐱ,,4
ᐽ,ᐱ,,4
ᐾ,ᐱ,,4
ᐿ,ᐱ,,4
ᐴ,ᐳ,,4
ᐵ,ᐳ,,4
ᐶ,ᐳ,,4
ᐷ,ᐳ,,4
ᑀ,ᐳ,,4
ᑁ,ᐳ,,4
ᑂ,ᐳ,,4
ᑃ,ᐳ,,4
ᐹ,ᐸ,,4
ᑄ,ᐸ,,4
ᑅ,ᐸ,,4
ᑆ,ᐸ,,4
ᑇ,ᐸ,,4
ᑈ,ᐸ,,4
ᐺ,ᐯ,,4
ᐻ,ᐯ,,4

ᑍ,ᑎ,,4
ᑏ,ᑎ,,4
ᑨ,ᑎ,,4
ᑙ,ᑎ,,4
ᑚ,ᑎ,,4
ᑛ,ᑎ,,4
ᑜ,ᑎ,,4
ᑑ,ᑐ,,4
ᑒ,ᑐ,,4
ᑓ,ᑐ,,4
ᑔ,ᑐ,,4
ᑝ,ᑐ,,4
ᑞ,ᑐ,,4
ᑟ,ᑐ,,4
ᑠ,ᑐ,,4
ᑩ,ᑐ,,4
ᑖ,ᑕ,,4
ᑡ,ᑕ,,4
ᑢ,ᑕ,,4
ᑣ,ᑕ,,4
ᑤ,ᑕ,,4
ᑥ,ᑕ,,4
ᑪ,ᑕ,,4
ᑗ,ᑌ,,4
ᑘ,ᑌ,,4
ᑧ,ᑌ,,4

ᑬ,ᑭ,,4
ᑮ,ᑭ,,4
ᑶ,ᑭ,,4
ᑷ,ᑭ,,4
ᑸ,ᑭ,,4
ᑹ,ᑭ,,4
ᒆ,ᑭ,,4
ᑰ,ᑯ,,4
ᑱ,ᑯ,,4
ᑺ,ᑯ,,4
ᑻ,ᑯ,,4
ᑼ,ᑯ,,4
ᑽ,ᑯ,,4
ᒇ,ᑯ,,4
ᑳ,ᑲ,,4
ᑾ,ᑲ,,4
ᑿ,ᑲ,,4
ᒀ,ᑲ,,4
ᒁ,ᑲ,,4
ᒂ,ᑲ,,4
ᒈ,ᑲ,,4
ᑴ,ᑫ,,4
ᑵ,ᑫ,,4
ᒅ,ᑫ,,4

ᒊ,ᒋ,,4
ᒌ,ᒋ,,4
ᒔ,ᒋ,,4
ᒕ,ᒋ,,4
ᒖ,ᒋ,,4
ᒗ,ᒋ,,4
ᒎ,ᒍ,,4
ᒏ,ᒍ,,4
ᒘ,ᒍ,,4
ᒙ,ᒍ,,4
ᒚ,ᒍ,,4
ᒛ,ᒍ,,4
ᒑ,ᒐ,,4
ᒜ,ᒐ,,4
ᒝ,ᒐ,,4
ᒞ,ᒐ,,4
ᒟ,ᒐ,,4
ᒠ,ᒐ,,4
ᒒ,ᒉ,,4
ᒓ,ᒉ,,4

ᓖ,ᓕ,,4
ᓘ,ᓗ,,4
ᓛ,ᓚ,,4

ᒤ,ᒥ,,4
ᒦ,ᒥ,,4
ᒮ,ᒥ,,4
ᒯ,ᒥ,,4
ᒰ,ᒥ,,4
ᒱ,ᒥ,,4
ᒨ,ᒧ,,4
ᒩ,ᒧ,,4
ᒲ,ᒧ,,4
ᒳ,ᒧ,,4
ᒴ,ᒧ,,4
ᒵ,ᒧ,,4
ᒫ,ᒪ,,4
ᒶ,ᒪ,,4
ᒷ,ᒪ,,4
ᒸ,ᒪ,,4
ᒹ,ᒪ,,4
ᒺ,ᒪ,,4
ᒬ,ᒣ,,4
ᒭ,ᒣ,,4

ᓁ,ᓂ,,4
ᓃ,ᓂ,,4
ᓅ,ᓄ,,4
ᓆ,ᓄ,,4
ᓈ,ᓇ,,4
ᓋ,ᓇ,,4
ᓌ,ᓇ,,4
ᓍ,ᓇ,,4
ᓎ,ᓇ,,4
ᓏ,ᓇ,,4
ᓉ,ᓀ,,4
ᓊ,ᓀ,,4

ᓮ,ᓯ,,4
ᓰ,ᓯ,,4
ᓸ,ᓯ,,4
ᓹ,ᓯ,,4
ᓺ,ᓯ,,4
ᓻ,ᓯ,,4
ᓲ,ᓱ,,4
ᓳ,ᓱ,,4
ᓼ,ᓱ,,4
ᓽ,ᓱ,,4
ᓾ,ᓱ,,4
ᓿ,ᓱ,,4
ᓵ,ᓴ,,4
ᔀ,ᓴ,,4
ᔁ,ᓴ,,4
ᔂ,ᓴ,,4
ᔃ,ᓴ,,4
ᔄ,ᓴ,,4
ᓶ,ᓭ,,4
ᓷ,ᓭ,,4

ᔧ,ᔨ,,4
ᔩ,ᔨ,,4
ᔱ,ᔨ,,4
ᔲ,ᔨ,,4
ᔳ,ᔨ,,4
ᔴ,ᔨ,,4
ᔫ,ᔪ,,4
ᔵ,ᔪ,,4
ᔶ,ᔪ,,4
ᔷ,ᔪ,,4
ᔸ,ᔪ,,4
ᔬ,ᔪ,,4
ᔮ,ᔭ,,4
ᔹ,ᔭ,,4
ᔺ,ᔭ,,4
ᔻ,ᔭ,,4
ᔽ,ᔭ,,4
ᔼ,ᔭ,,4
ᔯ,ᔦ,,4
ᔰ,ᔦ,,4

ᕔ,ᕕ,,4
ᕖ,ᕕ,,4
ᕘ,ᕗ,,4
ᕚ,ᕙ,,4
ᕛ,ᕙ,,4
ᕜ,ᕙ,,4

ᖩ,ᖨ,,4
ᖫ,ᖪ,,4
ᖭ,ᖬ,,4

ᣥ,ᕫ,,4
ᣦ,ᕭ,,4
ᣧ,ᕮ,,4

ᣭ,ᗯ,,4
ᣮ,ᗱ,,4
ᣯ,ᗴ,,4
ᣰ,ᗴ,,4

ᕉ,ᕈ,,4
ᕌ,ᕋ,,4
ᕇ,ᕆ,,4

