Child,Parent,Certainty Type,Source,Notes
Ⲁ,Α,,
Ⲃ,Β,,
Ⲅ,Γ,,
Ⲇ,Δ,,
Ⲉ,Ε,,
Ⲋ,Ϛ,,
Ⲍ,Ζ,,
Ⲏ,Η,,
Ⲑ,Θ,,
Ⲓ,Ι,,
Ⲕ,Κ,,
Ⲗ,Λ,,
Ⲙ,Μ,,
Ⲛ,Ν,,
Ⲝ,Ξ,,
Ⲟ,Ο,,
Ⲡ,Π,,
Ⲣ,Ρ,,
Ⲥ,Ϲ,,,Presuming specifically lunate sigma
Ⲧ,Τ,,
Ⲩ,Υ,,
Ⲫ,Φ,,
Ⲭ,Χ,,
Ⲯ,Ψ,,
Ⲱ,Ω,,
Ϣ,,,
Ϥ,,,
Ϧ,,,
Ϩ,,,
Ϫ,,,
Ϭ,,,
Ϯ,/ⲧ/ⲓ,3,Wikipedia: Demotic Egyptian script
Ⳁ,Ϡ,2,

ⲁ,Ⲁ,,
ⲃ,Ⲃ,,
ⲅ,Ⲅ,,
ⲇ,Ⲇ,,
ⲉ,Ⲉ,,
ⲋ,Ⲋ,,
ⲍ,Ⲍ,,
ⲏ,Ⲏ,,
ⲑ,Ⲑ,,
ⲓ,Ⲓ,,
ⲕ,Ⲕ,,
ⲗ,Ⲗ,,
ⲙ,Ⲙ,,
ⲛ,Ⲛ,,
ⲝ,Ⲝ,,
ⲟ,Ⲟ,,
ⲡ,Ⲡ,,
ⲣ,Ⲣ,,
ⲥ,Ⲥ,,
ⲧ,Ⲧ,,
ⲩ,Ⲩ,,
ⲫ,Ⲫ,,
ⲭ,Ⲭ,,
ⲯ,Ⲯ,,
ⲱ,Ⲱ,,
ϣ,Ϣ,,
ϥ,Ϥ,,
ϧ,Ϧ,,
ϩ,Ϩ,,
ϫ,Ϫ,,
ϭ,Ϭ,,
ϯ,Ϯ,,
ⳁ,Ⳁ,,

Ⳉ,Ϩ,4,
ⳉ,Ⳉ,,

ⲳ,,,Wikipedia: Demotic Egyptian script
ⲵ,,,Wikipedia: Demotic Egyptian script
ⲻ,,,Wikipedia: Demotic Egyptian script
ⳏ,,,Wikipedia: Demotic Egyptian script
ⳕ,,,Wikipedia: Demotic Egyptian script
ⳍ,,,Wikipedia: Demotic Egyptian script
ⳓ,,,Wikipedia: Demotic Egyptian script
ⳋ,,,Wikipedia: Demotic Egyptian script
ⳅ,,,Wikipedia: Demotic Egyptian script
ⳇ,,,Wikipedia: Demotic Egyptian script
ⲹ,,,Wikipedia: Demotic Egyptian script
ⳛ,,,Wikipedia: Demotic Egyptian script
ⳙ,,,Wikipedia: Demotic Egyptian script
ⳗ,,,Wikipedia: Demotic Egyptian script


