Child,Parent,Derivation Type,Source
А,Α,5,
а,А,1,
Б,Β,1,
б,Б,1,
В,Β,5,
в,В,5,
Г,Γ,5,
г,Г,5,
Д,Δ,1,
д,Д,5,
Є,Ε,1,
є,Є,5,
Ж,Ⰶ,1,
ж,Ж,5,
Ѕ,Ϛ,1,
ѕ,Ѕ,5,
З,Ζ,1,
з,З,5,
И,Η,1,
и,И,5,
І,Ι,5,
і,І,1,
К,Κ,5,
к,К,5,
Л,Λ,1,
л,Л,5,
М,Μ,5,
м,М,5,
Н,Ν,1,
н,Н,5,
О,Ο,5,
о,О,5,
П,Π,5,
п,П,5,
Р,Ρ,5,
р,Р,1,
С,Ϲ,5,
с,С,5,
Т,Τ,5,
т,Т,5,
Ꙋ,Ο/Υ,1,
ꙋ,Ꙋ,1,
Ф,Φ,1,
ф,Ф,1,
Х,Χ,5,
х,Х,5,
Ѡ,ω,1,
ѡ,Ѡ,1,
Ц,Ⱌ,1,
ц,Ц,5,
Ч,Ⱍ,1,
ч,Ч,5,
Ш,Ⱎ,5,
ш,Ш,5,
Щ,Ⱋ,1,
щ,Щ,5,
Ъ,Ⱏ,1,
ъ,Ъ,1,
Ꙑ,Ъ/І,1,
ꙑ,Ꙑ,5,
Ь,Ⱐ,1,
ь,Ь,5,
Ѣ,Ⱑ,1,
ѣ,Ѣ,5,
Ꙗ,І/А,1,
ꙗ,Ꙗ/і/а,1,
Ѥ,І/Є,1,
ѥ,Ѥ,5,
Ю,І/О,1,
ю,Ю,5,
Ѫ,Ⱘ,1,
ѫ,Ѫ,5,
Ѭ,І/Ѫ,1,
ѭ,Ѭ,5,
Ѧ,Ⱔ,1,
ѧ,Ѧ,5,
Ѩ,І/Ѧ,1,
ѩ,Ѩ,5,
Ѯ,Ξ,1,
ѯ,Ѯ,5,
Ѱ,Ψ,1,
ѱ,Ѱ,1,
Ѳ,Θ,5,
ѳ,Ѳ,1,
Ѵ,Υ,1,
ѵ,Ѵ,5,
Ҁ,Ϙ,1,
ҁ,Ҁ,5,

Е,Ε,5,Wikipedia: letter page
е,Е,1,Wikipedia: letter page
У,Ꙋ,1,Wikipedia: letter page
у,У,5,Wikipedia: letter page
Ы,Ꙑ,1,Wikipedia: letter page
ы,Ы,5,Wikipedia: letter page
Э,Є,9,Wikipedia: letter page
э,Э,5,Wikipedia: letter page
Я,Ѧ,1,Wikipedia: letter page
я,Я,5,Wikipedia: letter page


Ә,Ə,5,Wikipedia: letter page
ә,Ә,1,Wikipedia: letter page
