Child,Parent,Derivation Type,Certainty Type,Notes
Α,𐤀,8,,
Β,𐤁,1,,
Γ,𐤂,1,,
Δ,𐤃,1,,
Ε,𐤄,1,,
Ι,𐤉,1,,
Κ,𐤊,1,,
Λ,𐤋,1,,
Μ,𐤌,1,,
Ν,𐤍,1,,
Ο,𐤏,1,,
Π,𐤐,1,,
Ρ,𐤓,1,,
Σ,𐤔,8,,
Τ,𐤕,1,,
Υ,𐤅,1,,
Ζ,𐤆,1,,
Θ,𐤈,1,,
Ξ,𐤎,1,,
Φ,Ϙ,1,3,
Ω,Ο,1,,
Χ,,,,
Ψ,,,,

α,Α,1,5,Assumed lowercase from uppercase
β,Β,1,4,
γ,Γ,1,5,Assumed lowercase from uppercase
δ,Δ,1,5,Assumed lowercase from uppercase
ε,Ε,1,4,
ζ,Ζ,1,4,
η,Η,1,5,Assumed lowercase from uppercase
θ,Θ,1,4,
ι,Ι,1,4,
κ,Κ,1,4,
λ,Λ,1,4,
μ,Μ,1,5,Assumed lowercase from uppercase
ν,Ν,1,5,Assumed lowercase from uppercase
ξ,Ξ,1,5,Assumed lowercase from uppercase
ο,Ο,5,4,
π,Π,1,4,
ρ,Ρ,1,4,
σ,Σ,1,5,Assumed lowercase from uppercase
ς,Σ,1,5,Assumed lowercase from uppercase
τ,Τ,1,4,
υ,Υ,1,5,Assumed lowercase from uppercase
φ,Φ,1,5,Assumed lowercase from uppercase
χ,Χ,1,4,
ψ,Ψ,1,4,
ω,Ω,1,5,Assumed lowercase from uppercase

ᴦ,Γ,,4
ᴧ,Λ,,4
ᴨ,Π,,4
ᴩ,Ρ,,4
ᴪ,Ψ,,4
ꭥ,Ω,,4

Ϝ,𐤅,1,,
Η,𐤇,1,,
Ϙ,𐤒,1,,
Ϻ,𐤑,1,,
Ϛ,Σ/Τ,1,
ϛ,Ϛ,1,4
Ϲ,Σ,1,,
Ͻ,Ϲ,9,4
Ͼ,Ϲ,,1
Ͽ,Ͼ/Ͻ,,4
Ϡ,Ͳ,1,,
Ͳ,Ϻ/𐋇,1,3,
Ͱ,Η,1,1,
Ͷ,𐤅/𐤑/Ϻ,,3

Ϗ,Κ,
𐆠,Τ/Ρ
