Child,Parent,Derivation Type,Certainty Type,Notes
あ,安,,,
い,以,,,
う,宇,,,
え,衣,,,
お,於,,,
か,加,,,
き,幾,,,
く,久,,,
け,計,,,
こ,己,,,
さ,左,,,
し,之,,,
す,寸,,,
せ,世,,,
そ,曽,,,
た,太,,,
ち,知,,,
つ,川/州/闘,,3,Wikipedia chose 川 in infobox 
て,天,,,
と,止,,,
な,奈,,,
に,仁,,,
ぬ,奴,,,
ね,祢,,,
の,乃,,,
は,波,,,
ひ,比,,,
ふ,不,,,
へ,部,,,
ほ,保,,,
ま,末,,,
み,美,,,
む,武,,,
め,女,,,
も,毛,,,
や,也,,,
ゆ,由,,,
よ,与,,,
ら,良,,,
り,利,,,
る,留,,,
れ,礼,,,
ろ,呂,,,
わ,和,,,
ゐ,爲/為,,3,Wikipedia and Wiktionary disagree as of 2026-02-17
ゑ,恵,,,
を,遠,,,
ん,无,,,

𛀁,江,,,
𛄟,江,,,

ぁ,あ,1,5,
ぃ,い,1,5,
ぅ,う,1,5,
ぇ,え,1,5,
ぉ,お,1,5,
っ,つ,1,5,
ゃ,や,1,5,
ゅ,ゆ,1,5,
ょ,よ,1,5,
ゎ,わ,1,5,
ゕ,か,1,5,
ゖ,け,1,5,
𛄲,こ,1,5,
𛅐,ゐ,1,5,
𛅑,ゑ,1,5,
𛅒,を,1,5,

𛀂,𭑨
𛀃,愛
𛀄,阿
𛀅,惡
𛀆,以/い
𛀇,伊
𛀈,意
𛀉,移
𛀊,宇
𛀋,宇
𛀌,憂
𛀍,有
𛀎,雲
𛀏,盈
𛀐,縁
𛀑,衣
𛀒,衣
𛀓,要
𛀔,扵
𛀕,扵
𛀖,隱

𛀗,佳
𛀘,加
𛀙,可
𛀚,可
𛀛,𬻎
𛀜,我
𛀝,欤
𛀞,賀
𛀟,閑
𛀠,香
𛀡,駕
𛀢,家
𛀣,㐂
𛀤,幾
𛀥,幾
𛀦,支
𛀧,木
𛀨,祈
𛀩,貴
𛀪,起
𛀫,久
𛀬,久
𛀭,九
𛀮,供
𛀯,倶
𛀰,具
𛀱,求
𛀲,介
𛀳,介
𛀴,希
𛀵,氣
𛀶,計
𛀷,遣
𛀸,古
𛀹,故
𛀺,許
𛀻,期

𛀼,乍
𛀽,佐
𛀾,佐
𛀿,左
𛁀,差
𛁁,散
𛁂,斜
𛁃,沙
𛁄,之
𛁅,之
𛁆,事
𛁇,四
𛁈,志
𛁉,新
𛁊,受
𛁋,壽
𛁌,数
𛁍,数
𛁎,春
𛁏,春
𛁐,湏
𛁑,湏
𛁒,㔺
𛁓,世
𛁔,丗
𛁕,勢
𛁖,聲
𛁗,所
𛁘,所
𛁙,曽
𛁚,曽
𛁛,楚
𛁜,蘇
𛁝,處

𛁞,堂
𛁟,多
𛁠,多
𛁡,當
𛁢,千
𛁣,地
𛁤,智
𛁥,知
𛁦,知
𛁧,致
𛁨,遲
𛁩,川
𛁪,川
𛁫,津
𛁬,都
𛁭,徒
𛁮,亭
𛁯,低
𛁰,傳
𛁱,天
𛁲,天
𛁳,天
𛁴,帝
𛁵,弖
𛁶,轉
𛁷,土
𛁸,度
𛁹,東
𛁺,登
𛁻,登
𛁼,砥
𛁽,等

𛁾,南
𛁿,名
𛂀,奈
𛂁,奈
𛂂,奈
𛂃,菜
𛂄,那
𛂅,那
𛂆,難
𛂇,丹
𛂈,二
𛂉,仁
𛂊,兒
𛂋,尓
𛂌,尓
𛂍,耳
𛂎,而
𛂏,努
𛂐,奴
𛂑,怒
𛂒,年
𛂓,年
𛂔,年
𛂕,根
𛂖,熱
𛂗,祢
𛂘,子
𛂙,乃
𛂚,濃
𛂛,能
𛂜,能
𛂝,農

𛂞,八
𛂟,半
𛂠,婆
𛂡,波
𛂢,盤
𛂣,盤
𛂤,破
𛂥,者
𛂦,者
𛂧,葉
𛂨,頗
𛂩,悲
𛂪,日
𛂫,比
𛂬,避
𛂭,非
𛂮,飛
𛂯,飛
𛂰,不
𛂱,婦
𛂲,布
𛂳,倍
𛂴,弊
𛂵,弊
𛂶,遍
𛂷,邊
𛂸,辺
𛂹,阝
𛂺,保
𛂻,保
𛂼,报
𛂽,奉
𛂾,寶
𛂿,本
𛃀,夲
𛃁,豐

𛃂,万
𛃃,末
𛃄,末
𛃅,滿
𛃆,滿
𛃇,萬
𛃈,麻
𛃉,三
𛃊,微
𛃋,美
