Child,Parent,Derivation Type,Certainty Type,Notes
ア,阿,7,,
イ,伊,2,,
ウ,宇,7,,
エ,江,2,,
オ,於,7,,
カ,加,2,,
キ,幾,7,,
ク,久,2,,
ケ,介,7,,
コ,己,2,,
サ,散,7,,
シ,之,1,,
ス,須,7,,
セ,世,7,,
ソ,曽,7,,
タ,多,7,,
チ,千,1,,
ツ,川,1,3, This is the main one Wikipedia chose in infobox
ツ,州,1,3,
ツ,闘,3,3, Simplification presumed
テ,天,2,,
ト,止,7,,
ナ,奈,2,,
ニ,仁,2,,
ヌ,奴,2,,
ネ,祢,2,,
ノ,乃,2,,
ハ,八,2,,
ヒ,比,2,,
フ,不,7,,
ヘ,部,7,,
ホ,保,7,,
マ,末/万,7,, Wiktionary has combined derivation from 末 and 万
ミ,三,1,,
ム,牟,2,,
メ,女,2,,
モ,毛,2,,
ヤ,也,7,,
ユ,由,7,,
ヨ,與,2,,
ラ,良,7,,
リ,利,2,,
ル,流,2,,
レ,礼,7,,
ロ,呂,2,,
ワ,和,7,,
ヰ,井,2,,
ヱ,恵,7,,
ヲ,乎,7,,
ン,尓,7,3, This is the one Wikipedia chose in infobox, the other possibility is from a nasal symbol
