Child,Parent,Certainty Type,Source,Notes
ᨡ,ခ,,,Sound/glyph matching
ᨢ,ᨡ,,,Derived in a similar manner to other added consonants for Tai sounds not found in Pali
ᨣ,ဂ,,,Sound/glyph matching
ᨤ,ᨣ,,,Derived in a similar manner to other added consonants for Tai sounds not found in Pali
ᨩ,ဇ,2,,Sound/glyph matching
ᨪ,ᨩ,,,Derived in a similar manner to other added consonants for Tai sounds not found in Pali
ᨷ,ပ,,,Sound/glyph matching
ᨸ,ᨷ,,,Derived in a similar manner to other added consonants for Tai sounds not found in Pali
ᨹ,ဖ,2,,Sound/glyph matching
ᨺ,ᨹ,2,,Derived in a similar manner to other added consonants for Tai sounds not found in Pali
ᨻ,ဗ,2,,Sound/glyph matching
ᨼ,ᨻ,,,Derived in a similar manner to other added consonants for Tai sounds not found in Pali
ᨭ,ဋ,2,,Sound/glyph matching
ᨿ,ယ,,,Sound/glyph matching
ᩀ,ᨭ,3,,"Graphically derived in a similar manner to other added consonants for Tai sounds not found in Pali, but with no clear phonological motivation."
ᩌ,ᩉ/ᨮ,2,,"Added consonant for Tai sound not found in Pali, but derived differently than most other such consonants. Phonologically and graphically, ᩉ + subjoined ᨮ makes sense."
ᩃ,လ,,,Sound/glyph matching
ᨬ,ည,,,Sound/glyph matching
ᩉ,ဟ,,,Sound/glyph matching
ᩊ,ဠ,2,,Sound/glyph matching

