Child,Parent,Certainty Type,Source
ᠠ,𐽰
ᠡ,𐽰
ᠢ,𐽰/𐽶
ᠣ,𐽰/𐽳
ᠤ,𐽰/𐽳
ᠥ,𐽰/𐽳/𐽶
ᠦ,𐽰/𐽳/𐽶
ᠧ,𐽱
ᠨ,𐽺
ᠩ,𐽺/𐽷
ᠪ,𐽼
ᠫ,ᠪ
ᠬ,𐽲
ᠭ,𐽲
ᠮ,𐽹
ᠯ,𐾁
ᠰ,𐽻/𐽿
ᠱ,𐽻/𐽿
ᠲ,𐾀/𐽸
ᠳ,𐾀/𐽸
ᠴ,𐽽
ᠵ,𐽶/𐽽
ᠶ,𐽶
ᠷ,𐽾
ᠸ,𐽱/𐽳

ᠹ,ᠪ,4

᠐,༠,1,https://en.wikipedia.org/wiki/Mongolian_numerals
᠑,༡,1,https://en.wikipedia.org/wiki/Mongolian_numerals
᠒,༢,1,https://en.wikipedia.org/wiki/Mongolian_numerals
᠓,༣,1,https://en.wikipedia.org/wiki/Mongolian_numerals
᠔,༤,1,https://en.wikipedia.org/wiki/Mongolian_numerals
᠕,༥,1,https://en.wikipedia.org/wiki/Mongolian_numerals
᠖,༦,1,https://en.wikipedia.org/wiki/Mongolian_numerals
᠗,༧,1,https://en.wikipedia.org/wiki/Mongolian_numerals
᠘,༨,1,https://en.wikipedia.org/wiki/Mongolian_numerals
᠙,༩,1,https://en.wikipedia.org/wiki/Mongolian_numerals
