Child,Parent,Derivation Type,Certainty Type,Multiplicity,Source,Notes
!,I/O,1,3,,Wikipedia: Exclamation Mark
#,℔,1,2,,Wikipedia: Number sign
$,p/s,1,2,,Wikipedia: Dollar sign
$,P/S/T/I/J,1,3,,Wikipedia: Dollar sign
&,e/t,1,1,,Wikipedia: Ampersand
*,𒀭,1,3,,Wikipedia: Asterisk
+,e/t,1,1,,Wikipedia: Plus sign and minus signs
−,m/̄,1,3,,Wikipedia: Plus sign and minus signs
-,−/‐,5,1,,Wikipedia: Hyphen
.,˙,1,1,,Wikipedia: Full stop

0,𑁦,1,3,,Wikipedia: Arabic numerals,"Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit"
1,𑁧,1,3,,Wikipedia: Arabic numerals,"Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit"
2,𑁨,1,3,,Wikipedia: Arabic numerals,"Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit"
3,𑁩,1,3,,Wikipedia: Arabic numerals,"Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit"
4,𑁪,1,3,,Wikipedia: Arabic numerals,"Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit"
5,𑁫,1,3,,Wikipedia: Arabic numerals,"Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit"
6,𑁬,1,3,,Wikipedia: Arabic numerals,"Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit"
7,𑁭,1,3,,Wikipedia: Arabic numerals,"Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit"
8,𑁮,1,3,,Wikipedia: Arabic numerals,"Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit"
9,𑁯,1,3,,Wikipedia: Arabic numerals,"Comparing timelines and Wikipedia article, this is late-Brahmi or Gupta digit"

<,,1,2,,Wikipedia: Greater-than sign
=,,1,2,,Wikipedia: Equals sign
>,,1,2,,Wikipedia: Greater-than sign
?,̃/҃,1,3,,Wikipedia: Question Mark
@,,1,3,,Wikipedia: At sign

¡,!,8,1,,Wikipedia: Upside-down question and exclamation marks
£,L,1,1,,Wikipedia: Pound sign
¥,Y,1,1,,Wikipedia: Yen and yuan sign
§,S/⸏,1,3,,Wikipedia: Section sign
©,C/⃝,1,1,,Wikipedia: Copyright symbol
®,R/⃝,1,4,,
±,+/−,1,4,,
¶,⸿,1,2,,Wikipedia: Pilcrow
¿,?,8,1,,Wikipedia: Upside-down question and exclamation marks

।,𑁇,,5,,UCP: Gurmukhi Change/Panjabi Lab FAQ,"While the code point has Devanagari in its name, the intent appears to initially have been to treat this as a generic punctuation mark for use in multiple scripts"
॥,𑁈,,5,,UCP: Gurmukhi Change/Panjabi Lab FAQ,"While the code point has Devanagari in its name, the intent appears to initially have been to treat this as a generic punctuation mark for use in multiple scripts"

‐,͜,1,1,,Wikipedia: Hyphen
‵,′,1,4,,
※,米,1,2,,Wiktionary
‽,?/!,1,1,,Wiktionary
⁊,e/t,1,1,,Wiktionary
⁋,¶,9,4,,
⁏,;,9,4,,
⁑,*,1,4,2,
₠,C/E,1,1,,Wikipedia: European_Currency_Unit
₡,C,1,1,,Wikipedia: Colón_(currency)
₡,̸,1,4,2,Wikipedia: Colón_(currency)
₢,C/r,1,1,,Wikipedia: Cruzeiro_sign
₣,F/̵,1,4,,
₥,m/̸,1,1,,Wiktionary
₦,N,1,4,,
₦,̶,1,4,2,
₧,P/t/s,1,4,,
₩,W,1,1,,Wikipedia: Won_sign
₩,̶,1,4,2,Wikipedia: Won_sign
₪,ש/ח,1,1,,Wikipedia: Shekel_sign
₫,đ/̲,1,4,,
€,ε,1,1,,Wikipedia: Euro_sign
₭,K/̶,1,1,,Wiktionary
₮,T/̷,1,4,,
₯,Δ/ρ,1,1,,Wiktionary
₰,d,1,1,,Wiktionary
₱,P,1,1,,Wikipedia: Philippine_peso_sign
₱,̶,1,4,2,
₲,G/⃒,1,4,,
₳,A/̶,1,1,,Wikipedia: Argentine_austral
₴,г,4,2,,Wikipedia: Hryvnia_sign
₴,̶,1,4,2,
₵,C/⃒,1,4,,
₶,l/t,1,1,,Wiktionary
₷,S/m,1,1,,Wikipedia: Spesmilo
₸,T/̅,1,4,,
₹,र/R,1,1,,Wiktionary
₺,L,1,1,,Wiktionary
₺,̷,1,4,2,
₻,m,1,5,,
₼,m,1,1,,Wikipedia: Azerbaijani_manat_sign
₽,Р/̵,1,1,,Wikipedia: Ruble_sign
₾,ლ,1,1,,Wiktionary
₿,B,1,1,,Wiktionary
⃀,С/̲,1,1,,Wikipedia: Kyrgyz_som
⃁,ر/ي/ا/ل,,1,1,Wikipedia: Saudi riyal sign

℄,L/C,,4,
℔,l/b,1,1,,Wikipedia: Number sign
℗,P/⃝,1,4,,
℘,p,1,1,,Wikipedia: Weierstrass elliptic function
℞,R,1,1,,Wikipedia: Medical Prescription
℟,R,1,1,,Wikipedia: Preces
℣,V,1,1,,Wikipedia: Preces
℧,Ω,9,1,,Wikipedia: Siemens (unit)
℩,ι,8,4,,
℮,e,,4,
℺,Q,8,4,,
⅁,G,8,4,,
⅂,L,8,4,,
⅃,L,9,4,,
⅄,Y,9,4,,
⅊,P/L,,4,
⅋,&,8,4,,
⅌,p,,2,,UEP: Additonal Math
↊,2,8,4,,
↋,3,8,4,,
↔,←/→,,4,,

∀,A,9,1,,Wiktionary
∁,C,1,4,,
∂,d,1,1,,Wiktionary
∃,E,9,1,,Wiktionary
∅,Ø,1,1,,Wikipedia: Empty set

☿,☤,3,1,,Wikipedia: Planetary symbols
♀,,1,1,,Wikipedia: Planetary symbols
♁,,1,1,,Wikipedia: Planetary symbols
♂,,1,1,,Wikipedia: Planetary symbols
♃,Ζ,1,1,,Wikipedia: Planetary symbols
♄,Κ/ρ,1,1,,Wikipedia: Planetary symbols
⛢,♂/☉,1,1,,Wikipedia: Planetary symbols
♆,,1,1,,Wikipedia: Planetary symbols
♇,P/L,1,1,,Wikipedia: Planetary symbols

⸿,C,1,2,,Wikipedia: Pilcrow
⹀,⸗,1,1,,Wikipedia: Double hyphen

𝄉,D/S/.,,4,
𝄊,D/C/.,,4,
𝄑,𝄐,9,4,
𝄟,𝄞/8,,4,
𝄠,𝄞/8,,4,
𝄣,𝄢/8,,4,
𝄤,𝄢/8,,4,
𝄶,8/v/a,,4,
𝄷,8/v/b,,4,
𝄸,1/5/m/a,,4,
𝄹,1/5/m/b,,4,
𝆏,p,,4,
𝆐,m,,4,
𝆑,f,,4,
