Script,Derivation Type,Certainty Type,Source
Katakana,,1,Wikipedia and Wiktionary kana pages - 2026-02-17 / https://www.sakuramani.com/how-did-hiragana-and-katakana-originate/
Hiragana,4,1,Wikipedia and Wiktionary kana pages - 2026-02-17 / https://www.sakuramani.com/how-did-hiragana-and-katakana-originate/
Bopomofo,,1,Wikipedia: Bopomofo - 2026-02-17
Latin,,1,Wikipedia Latin letter pages / Etruscan - 2026-02-19
Greek,,1,Wikipedia: Greek / Old Italic and Phoenician - 2026-02-19
Old Italic,,,Wikipedia: Old Italic and Etruscan - 2026-02-19
Phoenician,,1,Wikipedia: Phoenician - 2026-02-19 and Proto-Sinaitic - 2026-02-26
Proto-Sinaitic,3,2,Wikipedia: Proto-Sinaitic - 2026-02-26
Cyrillic,,,Wikipedia: Early Cyrillic alphabet - 2026-02-20
Coptic,,1,Wikipedia: Coptic script - 2026-02-20
Brahmi,,2,Indian Epigraphy pg. 25 (Salomon 1998) and Wikipedia: Indic letters pages
Canadian_Aboriginal,,,Wikipedia: Canadian Aboriginal Syllabics
Arabic,1,2,Wikipedia: Semitic Letter pages
