Code,ISO ID,Name,Unicode Alias,Unicode Version,Unicode Subversion
Adlm,166,Adlam,Adlam,9,0
Afak,439,,,,
Aghb,239,Caucasian Albanian,Caucasian_Albanian,7,0
Ahom,338,Ahom,Ahom,8,0
Arab,160,Arabic,Arabic,1,1
Aran,161,,,1,1
Armi,124,Aramaic,Imperial_Aramaic,5,2
Armn,230,Armenian,Armenian,1,1
Avst,134,Avestan,Avestan,5,2
Bali,360,Balinese,Balinese,5,0
Bamu,435,Bamum,Bamum,5,2
Bass,259,Bassa Vah,Bassa_Vah,7,0
Batk,365,Batak,Batak,6,0
Beng,325,Bengali,Bengali,1,1
Berf,258,Zaghawa,Beria_Erfe,17,0
Bhks,334,Bhaiksuki,Bhaiksuki,9,0
Blis,550,,,,
Bopo,285,Bopomofo,Bopomofo,1,1
Brah,300,Brahmi,Brahmi,6,0
Brai,570,Braille,Braille,3,0
Bugi,367,Buginese,Buginese,4,1
Buhd,372,Buhid,Buhid,3,2
Cakm,349,Chakma,Chakma,6,1
Cans,440,Canadian Aboriginal,Canadian_Aboriginal,3,0
Cari,201,Carian,Carian,5,1
Cham,358,Cham,Cham,5,1
Cher,445,Cherokee,Cherokee,3,0
Chis,298,,,,
Chrs,109,Khwarezmian,Chorasmian,13,0
Cirt,291,,,,
Copt,204,Coptic,Coptic,4,1
Cpmn,402,Cypro-Minoan,Cypro_Minoan,14,0
Cprt,403,Cypriot,Cypriot,4,0
Cyrl,220,Cyrillic,Cyrillic,1,1
Cyrs,221,,,1,1
Deva,315,Devanagari,Devanagari,1,1
Diak,342,Dhives Akuru,Dives_Akuru,13,0
Dogr,328,Dogri,Dogra,11,0
Dsrt,250,Deseret,Deseret,3,1
Dupl,755,Duployan Shorthand,Duployan,7,0
Egyd,70,Demotic,,,
Egyh,60,,,5,2
Egyp,50,Egyptian Hieroglyphs,Egyptian_Hieroglyphs,5,2
Elba,226,Elbasan,Elbasan,7,0
Elym,128,Elymaic,Elymaic,12,0
Ethi,430,Ge'ez,Ethiopic,3,0
Gara,164,Garay,Garay,16,0
Geok,241,,,1,1
Geor,240,Georgian,Georgian,1,1
Glag,225,Glagolitic,Glagolitic,4,1
Gong,312,Gunjala Gondi,Gunjala_Gondi,11,0
Gonm,313,Masaram Gondi,Masaram_Gondi,10,0
Goth,206,Gothic,Gothic,3,1
Gran,343,Grantha,Grantha,7,0
Grek,200,Greek,Greek,1,1
Gujr,320,Gujarati,Gujarati,1,1
Gukh,397,Khema,Gurung_Khema,16,0
Guru,310,Gurmukhi,Gurmukhi,1,1
Hanb,503,,,1,1
Hang,286,Hangul,Hangul,1,1
Hani,500,Han,Han,1,1
Hano,371,Hanuno'o,Hanunoo,3,2
Hans,501,,,1,1
Hant,502,,,1,1
Hatr,127,Hatran,Hatran,8,0
Hebr,125,Hebrew,Hebrew,1,1
Hira,410,Hiragana,Hiragana,1,1
Hluw,80,Anatolian Hieroglyphs,Anatolian_Hieroglyphs,8,0
Hmng,450,Pahawh Hmong,Pahawh_Hmong,7,0
Hmnp,451,Nyiakeng Puachue Hmong,Nyiakeng_Puachue_Hmong,12,0
Hntl,504,,,,
Hrkt,412,Katakana or Hiragana,Katakana_Or_Hiragana,1,1
Hung,176,Old Hungarian,Old_Hungarian,8,0
Inds,610,,,,
Ital,210,Old Italic,Old_Italic,3,1
Jamo,284,,,1,1
Java,361,Javanese,Javanese,5,2
Jpan,413,,,1,1
Jurc,510,,,,
Kali,357,Kayah Li,Kayah_Li,5,1
Kana,411,Katakana,Katakana,1,1
Kawi,368,Kawi,Kawi,15,0
Khar,305,Kharoshthi,Kharoshthi,4,1
Khmr,355,Khmer,Khmer,3,0
Khoj,322,Khojki,Khojki,7,0
Kitl,505,,,,
Kits,288,Khitan Small,Khitan_Small_Script,13,0
Knda,345,Kannada,Kannada,1,1
Kore,287,,,1,1
Kpel,436,,,,
Krai,396,Kirat Rai,Kirat_Rai,16,0
Kthi,317,Kaithi,Kaithi,5,2
Lana,351,Tai Tham,Tai_Tham,5,2
Laoo,356,Lao,Lao,1,1
Latf,217,,,1,1
Latg,216,,,1,1
Latn,215,Latin,Latin,1,1
Leke,364,,,,
Lepc,335,Lepcha,Lepcha,5,1
Limb,336,Limbu,Limbu,4,0
Lina,400,Linear A,Linear_A,7,0
Linb,401,Linear B,Linear_B,4,0
Lisu,399,Fraser,Lisu,5,2
Loma,437,,,,
Lyci,202,Lycian,Lycian,5,1
Lydi,116,Lydian,Lydian,5,1
Mahj,314,Mahajani,Mahajani,7,0
Maka,366,Makasar,Makasar,11,0
Mand,140,Mandaic,Mandaic,6,0
Mani,139,Manichaean,Manichaean,7,0
Marc,332,Marchen,Marchen,9,0
Maya,90,,,,
Medf,265,Medefaidrin,Medefaidrin,11,0
Mend,438,Mende Kikakui,Mende_Kikakui,7,0
Merc,101,Meroitic Cursive,Meroitic_Cursive,6,1
Mero,100,Meroitic Hieroglyphs,Meroitic_Hieroglyphs,6,1
Mlym,347,Malayalam,Malayalam,1,1
Modi,324,Modi,Modi,7,0
Mong,145,Mongolian,Mongolian,3,0
Moon,218,,,,
Mroo,264,Mru,Mro,7,0
Mtei,337,Meitei,Meetei_Mayek,5,2
Mult,323,Multani,Multani,8,0
Mymr,350,Myanmar,Myanmar,3,0
Nagm,295,Mundari Bani,Nag_Mundari,15,0
Nand,311,Nandinagari,Nandinagari,12,0
Narb,106,Old North Arabian,Old_North_Arabian,7,0
Nbat,159,Nabataean,Nabataean,7,0
Newa,333,Prachalit,Newa,9,0
Nkdb,85,,,,
Nkgb,420,,,,
Nkoo,165,N'ko,Nko,5,0
Nshu,499,Nushu,Nushu,10,0
Ogam,212,Ogham,Ogham,3,0
Olck,261,Ol Chiki,Ol_Chiki,5,1
Onao,296,Ol Onal,Ol_Onal,16,0
Orkh,175,Old Turkic,Old_Turkic,5,2
Orya,327,Odia,Oriya,1,1
Osge,219,Osage,Osage,9,0
Osma,260,Osmanya,Osmanya,4,0
Ougr,143,Old Uyghur,Old_Uyghur,14,0
Palm,126,Palmyrene,Palmyrene,7,0
Pauc,263,Pau Cin Hau,Pau_Cin_Hau,7,0
Pcun,15,,,,
Pelm,16,,,,
Perm,227,Old Permic,Old_Permic,7,0
Phag,331,'Phags-Pa,Phags_Pa,5,0
Phli,131,Inscriptional Pahlavi,Inscriptional_Pahlavi,5,2
Phlp,132,Psalter Pahlavi,Psalter_Pahlavi,7,0
Phlv,133,,,,
Phnx,115,Phoenician,Phoenician,5,0
Plrd,282,Pollard,Miao,6,1
Piqd,293,,,,
Prti,130,Inscriptional Parthian,Inscriptional_Parthian,5,2
Psin,103,Proto-Sinaitic,,,
Qabd,929,Gaudi,,,
Qabg,932,Gupta,,,
Qabk,936,Kadamba,,,
Qabl,937,Landa,,,
Qabn,939,Nagari,,,
Qabp,941,Pallava,,,
Ranj,303,,,,
Rjng,363,Rejang,Rejang,5,1
Rohg,167,Hanifi Rohingya,Hanifi_Rohingya,11,0
Roro,620,,,,
Runr,211,Runes,Runic,3,0
Samr,123,Samaritan,Samaritan,5,2
Sara,292,,,,
Sarb,105,Old South Arabian,Old_South_Arabian,5,2
Saur,344,Saurashtra,Saurashtra,5,1
Seal,590,,,,
Sgnw,95,SignWriting,SignWriting,8,0
Shaw,281,Shavian,Shavian,4,0
Shrd,319,Sharada,Sharada,6,1
Shui,530,,,,
Sidd,302,Siddham,Siddham,7,0
Sidt,180,Sidetic,Sidetic,17,0
Sind,318,Khudawadi,Khudawadi,7,0
Sinh,348,Sinhala,Sinhala,3,0
Sogd,141,Sogdian,Sogdian,11,0
Sogo,142,Old Sogdian,Old_Sogdian,11,0
Sora,398,Sora Sompeng,Sora_Sompeng,6,1
Soyo,329,Soyombo,Soyombo,10,0
Sund,362,Sundanese,Sundanese,5,1
Sunu,274,Sunuwar,Sunuwar,16,0
Sylo,316,Sylheti Nagri,Syloti_Nagri,4,1
Syrc,135,Syriac,Syriac,3,0
Syre,138,,,3,0
Syrj,137,,,3,0
Syrn,136,,,3,0
Tagb,373,Tagbanwa,Tagbanwa,3,2
Takr,321,Takri,Takri,6,1
Tale,353,Tai Le,Tai_Le,4,0
Talu,354,New Tai Lue,New_Tai_Lue,4,1
Taml,346,Tamil,Tamil,1,1
Tang,520,Tangut,Tangut,9,0
Tavt,359,Tai Viet,Tai_Viet,5,2
Tayo,380,Tai Yo,Tai_Yo,17,0
Telu,340,Telugu,Telugu,1,1
Teng,290,,,,
Tfng,120,Tifinagh,Tifinagh,4,1
Tglg,370,Tagalog,Tagalog,3,2
Thaa,170,Thaana,Thaana,3,0
Thai,352,Thai,Thai,1,1
Tibt,330,Tibetan,Tibetan,2,0
Tirh,326,Tirhuta,Tirhuta,7,0
Tnsa,275,Tangsa,Tangsa,14,0
Todr,229,Todhri,Todhri,16,0
Tols,299,Tolong Siki,Tolong_Siki,17,0
Toto,294,Toto,Toto,14,0
Tutg,341,Tigalari,Tulu_Tigalari,16,0
Ugar,40,Ugaritic,Ugaritic,4,0
Vaii,470,Vai,Vai,5,1
Visp,280,,,,
Vith,228,Vithkuqi,Vithkuqi,14,0
Wara,262,Warang Citi,Warang_Citi,7,0
Wcho,283,Wancho,Wancho,12,0
Wole,480,,,,
Xpeo,30,Old Persian,Old_Persian,4,1
Xsux,20,Sumero-Akkadian Cuneiform,Cuneiform,5,0
Yezi,192,Yezidi,Yezidi,13,0
Yiii,460,Yi,Yi,3,0
Zanb,339,Zanabazar Square,Zanabazar_Square,10,0
Zinh,994,Inherited,Inherited,,
Zmth,995,,,3,2
Zsye,993,,,6,0
Zsym,996,,,1,1
Zxxx,997,,,,
Zyyy,998,Common,Common,,
Zzzz,999,Unknown,Unknown,,
