Script,Case,Language,Alphabet Type,Source,Notes,Alphabet
Armi,Lo,arc,,Wikipedia: Aramaic alphabet,,𐡀𐡁𐡂𐡃𐡄𐡅𐡆𐡇𐡈𐡉𐡊𐡋𐡌𐡍𐡎𐡏𐡐𐡑𐡒𐡓𐡔𐡕
Bopo,Lo,,,Wikipedia: Bopomofo,Order as presented,ㄅㄆㄇㄈㄉㄊㄋㄌㄍㄎㄏㄐㄑㄒㄓㄔㄕㄖㄗㄘㄙㄚㄛㄜㄝㄞㄟㄠㄡㄢㄣㄤㄥㄦㄧㄨㄩㄪㄫㄬㄭ
Brah,Lo,,,Wikipedia: Brahmi script,"Consonants, then dependent vowels, then independent vowels",𑀓𑀔𑀕𑀖𑀗𑀘𑀙𑀚𑀛𑀜𑀝𑀞𑀟𑀠𑀡𑀢𑀣𑀤𑀥𑀦𑀧𑀨𑀩𑀪𑀫𑀬𑀭𑀮𑀴𑀯𑀰𑀱𑀲𑀳𑀸𑀹𑀺𑀻𑀼𑀽𑀾𑀿𑁀𑁁𑁂𑁃𑁄𑁅𑀅𑀆𑀇𑀈𑀉𑀊𑀋𑀌𑀍𑀎𑀏𑀐𑀑𑀒
Brai,Lo,,,Wikipedia: Braille,,⠁⠃⠉⠙⠑⠋⠛⠓⠊⠚⠅⠇⠍⠝⠕⠏⠟⠗⠎⠞⠥⠧⠭⠽⠵⠺
Cari,Lo,xcr,3,Adiego 2006 # p. 220,Egyptian (Memphis) alphabet (Egyptian Carian was quite uniform compared to Caria proper),𐊠𐊢𐊣𐊤𐊥𐊦𐊨𐊩𐊪𐊫𐊭𐊮𐊰𐊱𐊲𐊴𐊵𐊷𐊸𐊹𐊼𐊾𐋀𐋂𐋇𐋊𐊺𐊻𐊿𐋅𐋉
Egyp,Lo,egy,3,Ritner 1996,Academic conventional order; native order not fully known,𓄿𓇋𓇌𓏭𓂝𓅱𓃀𓊪𓆑𓅓𓈖𓂋𓉔𓎛𓐍𓄡𓊃𓋴𓈙𓈎𓎡𓎼𓏏𓍿𓂧𓆓
Glag,Lu,cu,,Wikipedia: Glagolitic script,,ⰀⰁⰂⰃⰄⰅⰆⰇⰈⰉⰊⰋⰌⰍⰎⰏⰐⰑⰒⰓⰔⰕⰖⰗⰘⰙⰚⰛⰜⰝⰞⰟⰠⰡⰢⰣⰤⰥⰦⰧⰨⰩⰪⰫ
Grek,Lu!,el,3/4,Wikipedia: Greek alphabet,,ΑΒΓΔΕΖΗΘΙΚΛΜΝΞΟΠΡΣΤΥΦΧΨΩ
Grek,Ll!,el,3,Wikipedia: Greek alphabet,,αβγδεζηθικλμνξοπρστυφχψω
Grek,Ll!,el,4,Wikipedia: Greek alphabet,,αβγδεζηθικλμνξοπρσςτυφχψω
